job_id,job_role,company,experience,education,job_description
32,Full Stack Developer,DataMind,0-2 Years,B.Tech,"DataMind is hiring a Full Stack Developer. Required skills: REST API, Git, Docker, Spring Boot, Java, React. Candidates should have 0-2 Years experience, B.Tech degree, and strong Communication."
33,Full Stack Developer,Insight Ltd,1-3 Years,B.Tech,"Insight Ltd is hiring a Full Stack Developer. Required skills: Spring Boot, AWS, REST API, MySQL, Java, React. Candidates should have 1-3 Years experience, B.Tech degree, and strong Communication."
34,Full Stack Developer,AI Labs,1-3 Years,B.Tech,"AI Labs is hiring a Full Stack Developer. Required skills: Spring Boot, MySQL, AWS, Git, React, REST API. Candidates should have 1-3 Years experience, B.Tech degree, and strong Teamwork."
35,Full Stack Developer,TechNova,0-2 Years,B.Tech,"TechNova is hiring a Full Stack Developer. Required skills: Git, MySQL, Spring Boot, React, Docker, AWS. Candidates should have 0-2 Years experience, B.Tech degree, and strong Leadership."
36,Full Stack Developer,CodeSphere,2-4 Years,B.Tech,"CodeSphere is hiring a Full Stack Developer. Required skills: Spring Boot, Java, Git, REST API, React, Docker. Candidates should have 2-4 Years experience, B.Tech degree, and strong Teamwork."
37,Full Stack Developer,TechNova,5+ Years,B.Tech,"TechNova is hiring a Full Stack Developer. Required skills: AWS, React, Spring Boot, MySQL, Docker, Git. Candidates should have 5+ Years experience, B.Tech degree, and strong Problem Solving."
38,Full Stack Developer,DataMind,5+ Years,B.Tech,"DataMind is hiring a Full Stack Developer. Required skills: Spring Boot, REST API, React, Java, Git, AWS. Candidates should have 5+ Years experience, B.Tech degree, and strong Problem Solving."
39,Full Stack Developer,VisionAI,2-4 Years,B.Tech,"VisionAI is hiring a Full Stack Developer. Required skills: Git, REST API, Spring Boot, React, AWS, Docker. Candidates should have 2-4 Years experience, B.Tech degree, and strong Leadership."
40,Full Stack Developer,TechNova,0-2 Years,B.Tech,"TechNova is hiring a Full Stack Developer. Required skills: Git, Docker, Java, AWS, MySQL, Spring Boot. Candidates should have 0-2 Years experience, B.Tech degree, and strong Problem Solving."
41,Full Stack Developer,VisionAI,3-5 Years,B.Tech,"VisionAI is hiring a Full Stack Developer. Required skills: React, AWS, REST API, Spring Boot, MySQL, Docker. Candidates should have 3-5 Years experience, B.Tech degree, and strong Communication."
42,Full Stack Developer,VisionAI,5+ Years,B.Tech,"VisionAI is hiring a Full Stack Developer. Required skills: Spring Boot, Java, AWS, REST API, Docker, Git. Candidates should have 5+ Years experience, B.Tech degree, and strong Teamwork."
43,Full Stack Developer,CloudOps,2-4 Years,B.Tech,"CloudOps is hiring a Full Stack Developer. Required skills: Docker, Spring Boot, Java, React, Git, AWS. Candidates should have 2-4 Years experience, B.Tech degree, and strong Teamwork."
44,Full Stack Developer,DataMind,1-3 Years,B.Tech,"DataMind is hiring a Full Stack Developer. Required skills: Spring Boot, React, Git, MySQL, REST API, Java. Candidates should have 1-3 Years experience, B.Tech degree, and strong Leadership."
45,Full Stack Developer,PixelSoft,1-3 Years,B.Tech,"PixelSoft is hiring a Full Stack Developer. Required skills: Java, Spring Boot, AWS, React, MySQL, Git. Candidates should have 1-3 Years experience, B.Tech degree, and strong Teamwork."
46,Full Stack Developer,AI Labs,3-5 Years,B.Tech,"AI Labs is hiring a Full Stack Developer. Required skills: Spring Boot, MySQL, Java, Docker, REST API, AWS. Candidates should have 3-5 Years experience, B.Tech degree, and strong Problem Solving."
47,Full Stack Developer,CodeSphere,2-4 Years,B.Tech,"CodeSphere is hiring a Full Stack Developer. Required skills: MySQL, Spring Boot, Java, Docker, REST API, Git. Candidates should have 2-4 Years experience, B.Tech degree, and strong Problem Solving."
48,Full Stack Developer,PixelSoft,0-2 Years,B.Tech,"PixelSoft is hiring a Full Stack Developer. Required skills: AWS, REST API, Git, MySQL, React, Java. Candidates should have 0-2 Years experience, B.Tech degree, and strong Teamwork."
49,Full Stack Developer,NextGen,2-4 Years,B.Tech,"NextGen is hiring a Full Stack Developer. Required skills: Git, Java, Docker, REST API, MySQL, Spring Boot. Candidates should have 2-4 Years experience, B.Tech degree, and strong Communication."
50,Full Stack Developer,TechNova,3-5 Years,B.Tech,"TechNova is hiring a Full Stack Developer. Required skills: Docker, Git, Spring Boot, React, Java, REST API. Candidates should have 3-5 Years experience, B.Tech degree, and strong Teamwork."
51,Backend Developer,PixelSoft,0-2 Years,B.E.,"PixelSoft is hiring a Backend Developer. Required skills: Hibernate, Docker, Java, PostgreSQL, Git, SQL. Candidates should have 0-2 Years experience, B.E. degree, and strong Problem Solving."
52,Backend Developer,NextGen,3-5 Years,B.E.,"NextGen is hiring a Backend Developer. Required skills: SQL, PostgreSQL, Docker, REST API, Spring Boot, Java. Candidates should have 3-5 Years experience, B.E. degree, and strong Teamwork."
53,Backend Developer,NextGen,1-3 Years,B.E.,"NextGen is hiring a Backend Developer. Required skills: Git, Docker, REST API, Java, PostgreSQL, Spring Boot. Candidates should have 1-3 Years experience, B.E. degree, and strong Problem Solving."
54,Backend Developer,CodeSphere,1-3 Years,B.E.,"CodeSphere is hiring a Backend Developer. Required skills: REST API, Docker, SQL, Spring Boot, Hibernate, PostgreSQL. Candidates should have 1-3 Years experience, B.E. degree, and strong Problem Solving."
55,Backend Developer,TechNova,1-3 Years,B.E.,"TechNova is hiring a Backend Developer. Required skills: Hibernate, Java, Spring Boot, PostgreSQL, REST API, SQL. Candidates should have 1-3 Years experience, B.E. degree, and strong Communication."
56,Backend Developer,CloudOps,5+ Years,B.E.,"CloudOps is hiring a Backend Developer. Required skills: Docker, REST API, Git, Java, SQL, Spring Boot. Candidates should have 5+ Years experience, B.E. degree, and strong Leadership."
57,Backend Developer,CloudOps,3-5 Years,B.E.,"CloudOps is hiring a Backend Developer. Required skills: REST API, Docker, Spring Boot, Hibernate, Java, SQL. Candidates should have 3-5 Years experience, B.E. degree, and strong Teamwork."
58,Backend Developer,FinTechX,1-3 Years,B.E.,"FinTechX is hiring a Backend Developer. Required skills: REST API, Java, Git, Spring Boot, SQL, Hibernate. Candidates should have 1-3 Years experience, B.E. degree, and strong Problem Solving."
59,Backend Developer,DataMind,3-5 Years,B.E.,"DataMind is hiring a Backend Developer. Required skills: REST API, Git, Hibernate, SQL, Docker, PostgreSQL. Candidates should have 3-5 Years experience, B.E. degree, and strong Leadership."
60,Backend Developer,PixelSoft,1-3 Years,B.E.,"PixelSoft is hiring a Backend Developer. Required skills: REST API, PostgreSQL, Spring Boot, SQL, Docker, Git. Candidates should have 1-3 Years experience, B.E. degree, and strong Leadership."
61,Backend Developer,VisionAI,2-4 Years,B.E.,"VisionAI is hiring a Backend Developer. Required skills: Spring Boot, Hibernate, PostgreSQL, REST API, SQL, Git. Candidates should have 2-4 Years experience, B.E. degree, and strong Communication."
62,Backend Developer,CodeSphere,1-3 Years,B.E.,"CodeSphere is hiring a Backend Developer. Required skills: PostgreSQL, Spring Boot, SQL, Docker, Hibernate, REST API. Candidates should have 1-3 Years experience, B.E. degree, and strong Leadership."
63,Backend Developer,NextGen,1-3 Years,B.E.,"NextGen is hiring a Backend Developer. Required skills: SQL, PostgreSQL, Git, Docker, Hibernate, Java. Candidates should have 1-3 Years experience, B.E. degree, and strong Leadership."
64,Backend Developer,PixelSoft,2-4 Years,B.E.,"PixelSoft is hiring a Backend Developer. Required skills: Java, SQL, Git, Docker, Hibernate, REST API. Candidates should have 2-4 Years experience, B.E. degree, and strong Leadership."
65,Backend Developer,PixelSoft,1-3 Years,B.E.,"PixelSoft is hiring a Backend Developer. Required skills: SQL, Git, Hibernate, REST API, Spring Boot, Docker. Candidates should have 1-3 Years experience, B.E. degree, and strong Leadership."
66,Backend Developer,FinTechX,1-3 Years,B.E.,"FinTechX is hiring a Backend Developer. Required skills: REST API, Java, Docker, PostgreSQL, Hibernate, Git. Candidates should have 1-3 Years experience, B.E. degree, and strong Teamwork."
67,Backend Developer,DataMind,3-5 Years,B.E.,"DataMind is hiring a Backend Developer. Required skills: Java, Docker, Git, Hibernate, REST API, SQL. Candidates should have 3-5 Years experience, B.E. degree, and strong Leadership."
68,Backend Developer,AI Labs,3-5 Years,B.E.,"AI Labs is hiring a Backend Developer. Required skills: PostgreSQL, Java, REST API, Docker, Hibernate, SQL. Candidates should have 3-5 Years experience, B.E. degree, and strong Problem Solving."
69,Backend Developer,VisionAI,0-2 Years,B.E.,"VisionAI is hiring a Backend Developer. Required skills: SQL, PostgreSQL, Docker, REST API, Java, Spring Boot. Candidates should have 0-2 Years experience, B.E. degree, and strong Communication."
70,Backend Developer,CloudOps,1-3 Years,B.E.,"CloudOps is hiring a Backend Developer. Required skills: Hibernate, Spring Boot, REST API, Java, Git, Docker. Candidates should have 1-3 Years experience, B.E. degree, and strong Communication."
71,Backend Developer,FinTechX,1-3 Years,B.E.,"FinTechX is hiring a Backend Developer. Required skills: PostgreSQL, Spring Boot, SQL, Docker, Java, REST API. Candidates should have 1-3 Years experience, B.E. degree, and strong Problem Solving."
72,Backend Developer,CodeSphere,2-4 Years,B.E.,"CodeSphere is hiring a Backend Developer. Required skills: Hibernate, Spring Boot, Git, REST API, Java, Docker. Candidates should have 2-4 Years experience, B.E. degree, and strong Communication."
73,Backend Developer,CodeSphere,1-3 Years,B.E.,"CodeSphere is hiring a Backend Developer. Required skills: Git, REST API, Hibernate, Docker, SQL, PostgreSQL. Candidates should have 1-3 Years experience, B.E. degree, and strong Teamwork."
74,Backend Developer,AI Labs,0-2 Years,B.E.,"AI Labs is hiring a Backend Developer. Required skills: Spring Boot, Hibernate, PostgreSQL, Git, Java, SQL. Candidates should have 0-2 Years experience, B.E. degree, and strong Leadership."
75,Backend Developer,CodeSphere,3-5 Years,B.E.,"CodeSphere is hiring a Backend Developer. Required skills: Hibernate, Java, Git, PostgreSQL, SQL, Spring Boot. Candidates should have 3-5 Years experience, B.E. degree, and strong Leadership."
76,Backend Developer,PixelSoft,5+ Years,B.E.,"PixelSoft is hiring a Backend Developer. Required skills: Hibernate, REST API, Docker, Spring Boot, SQL, Java. Candidates should have 5+ Years experience, B.E. degree, and strong Leadership."
77,Backend Developer,CodeSphere,1-3 Years,B.E.,"CodeSphere is hiring a Backend Developer. Required skills: REST API, Docker, Hibernate, Git, PostgreSQL, Spring Boot. Candidates should have 1-3 Years experience, B.E. degree, and strong Problem Solving."
78,Backend Developer,FinTechX,0-2 Years,B.E.,"FinTechX is hiring a Backend Developer. Required skills: REST API, Spring Boot, Docker, Git, Hibernate, SQL. Candidates should have 0-2 Years experience, B.E. degree, and strong Problem Solving."
79,Backend Developer,Insight Ltd,2-4 Years,B.E.,"Insight Ltd is hiring a Backend Developer. Required skills: PostgreSQL, Docker, Spring Boot, REST API, Git, Hibernate. Candidates should have 2-4 Years experience, B.E. degree, and strong Problem Solving."
80,Backend Developer,FinTechX,3-5 Years,B.E.,"FinTechX is hiring a Backend Developer. Required skills: Java, Git, Spring Boot, REST API, Hibernate, PostgreSQL. Candidates should have 3-5 Years experience, B.E. degree, and strong Teamwork."
81,Backend Developer,PixelSoft,0-2 Years,B.E.,"PixelSoft is hiring a Backend Developer. Required skills: REST API, Hibernate, SQL, Docker, Git, Java. Candidates should have 0-2 Years experience, B.E. degree, and strong Teamwork."
82,Backend Developer,VisionAI,5+ Years,B.E.,"VisionAI is hiring a Backend Developer. Required skills: SQL, Hibernate, Spring Boot, PostgreSQL, Git, REST API. Candidates should have 5+ Years experience, B.E. degree, and strong Problem Solving."
83,Backend Developer,PixelSoft,3-5 Years,B.E.,"PixelSoft is hiring a Backend Developer. Required skills: SQL, Hibernate, Git, PostgreSQL, REST API, Docker. Candidates should have 3-5 Years experience, B.E. degree, and strong Problem Solving."
84,Backend Developer,DataMind,5+ Years,B.E.,"DataMind is hiring a Backend Developer. Required skills: Git, Spring Boot, Java, SQL, PostgreSQL, Hibernate. Candidates should have 5+ Years experience, B.E. degree, and strong Teamwork."
85,Backend Developer,PixelSoft,1-3 Years,B.E.,"PixelSoft is hiring a Backend Developer. Required skills: Docker, Hibernate, REST API, PostgreSQL, Git, Java. Candidates should have 1-3 Years experience, B.E. degree, and strong Teamwork."
86,Backend Developer,TechNova,0-2 Years,B.E.,"TechNova is hiring a Backend Developer. Required skills: Hibernate, Spring Boot, PostgreSQL, Java, SQL, Docker. Candidates should have 0-2 Years experience, B.E. degree, and strong Problem Solving."
87,Backend Developer,FinTechX,2-4 Years,B.E.,"FinTechX is hiring a Backend Developer. Required skills: PostgreSQL, Hibernate, Docker, Java, Git, REST API. Candidates should have 2-4 Years experience, B.E. degree, and strong Leadership."
88,Backend Developer,CodeSphere,0-2 Years,B.E.,"CodeSphere is hiring a Backend Developer. Required skills: REST API, PostgreSQL, Spring Boot, Java, SQL, Hibernate. Candidates should have 0-2 Years experience, B.E. degree, and strong Leadership."
89,Backend Developer,PixelSoft,5+ Years,B.E.,"PixelSoft is hiring a Backend Developer. Required skills: REST API, Java, Git, SQL, Spring Boot, Hibernate. Candidates should have 5+ Years experience, B.E. degree, and strong Communication."
90,Backend Developer,FinTechX,3-5 Years,B.E.,"FinTechX is hiring a Backend Developer. Required skills: Docker, Java, Git, REST API, Spring Boot, PostgreSQL. Candidates should have 3-5 Years experience, B.E. degree, and strong Leadership."
91,Backend Developer,TechNova,5+ Years,B.E.,"TechNova is hiring a Backend Developer. Required skills: Git, SQL, REST API, Docker, PostgreSQL, Hibernate. Candidates should have 5+ Years experience, B.E. degree, and strong Communication."
92,Backend Developer,DataMind,1-3 Years,B.E.,"DataMind is hiring a Backend Developer. Required skills: Docker, Hibernate, Spring Boot, PostgreSQL, Java, REST API. Candidates should have 1-3 Years experience, B.E. degree, and strong Communication."
93,Backend Developer,CloudOps,0-2 Years,B.E.,"CloudOps is hiring a Backend Developer. Required skills: PostgreSQL, Java, Docker, Hibernate, Git, Spring Boot. Candidates should have 0-2 Years experience, B.E. degree, and strong Problem Solving."
94,Backend Developer,CloudOps,5+ Years,B.E.,"CloudOps is hiring a Backend Developer. Required skills: Git, Hibernate, Docker, Java, Spring Boot, SQL. Candidates should have 5+ Years experience, B.E. degree, and strong Leadership."
95,Backend Developer,TechNova,0-2 Years,B.E.,"TechNova is hiring a Backend Developer. Required skills: Spring Boot, Git, REST API, Hibernate, PostgreSQL, Java. Candidates should have 0-2 Years experience, B.E. degree, and strong Teamwork."
96,Backend Developer,FinTechX,0-2 Years,B.E.,"FinTechX is hiring a Backend Developer. Required skills: Git, REST API, Hibernate, SQL, PostgreSQL, Spring Boot. Candidates should have 0-2 Years experience, B.E. degree, and strong Problem Solving."
97,Backend Developer,Insight Ltd,0-2 Years,B.E.,"Insight Ltd is hiring a Backend Developer. Required skills: SQL, PostgreSQL, Git, Hibernate, Docker, Spring Boot. Candidates should have 0-2 Years experience, B.E. degree, and strong Communication."
98,Backend Developer,CloudOps,0-2 Years,B.E.,"CloudOps is hiring a Backend Developer. Required skills: SQL, Hibernate, PostgreSQL, Git, REST API, Java. Candidates should have 0-2 Years experience, B.E. degree, and strong Communication."
99,Backend Developer,PixelSoft,3-5 Years,B.E.,"PixelSoft is hiring a Backend Developer. Required skills: Git, REST API, Java, Spring Boot, Docker, PostgreSQL. Candidates should have 3-5 Years experience, B.E. degree, and strong Teamwork."
100,Backend Developer,AI Labs,3-5 Years,B.E.,"AI Labs is hiring a Backend Developer. Required skills: SQL, Hibernate, Docker, Java, REST API, Spring Boot. Candidates should have 3-5 Years experience, B.E. degree, and strong Problem Solving."
101,Frontend Developer,PixelSoft,3-5 Years,B.Tech,"PixelSoft is hiring a Frontend Developer. Required skills: JavaScript, Git, Figma, TypeScript, HTML, CSS. Candidates should have 3-5 Years experience, B.Tech degree, and strong Leadership."
102,Frontend Developer,NextGen,0-2 Years,B.Tech,"NextGen is hiring a Frontend Developer. Required skills: React, HTML, Figma, TypeScript, CSS, JavaScript. Candidates should have 0-2 Years experience, B.Tech degree, and strong Communication."
103,Frontend Developer,FinTechX,3-5 Years,B.Tech,"FinTechX is hiring a Frontend Developer. Required skills: Figma, HTML, React, JavaScript, TypeScript, Git. Candidates should have 3-5 Years experience, B.Tech degree, and strong Communication."
104,Frontend Developer,CodeSphere,3-5 Years,B.Tech,"CodeSphere is hiring a Frontend Developer. Required skills: HTML, TypeScript, CSS, JavaScript, Git, Redux. Candidates should have 3-5 Years experience, B.Tech degree, and strong Communication."
105,Frontend Developer,CodeSphere,3-5 Years,B.Tech,"CodeSphere is hiring a Frontend Developer. Required skills: HTML, Redux, JavaScript, TypeScript, React, CSS. Candidates should have 3-5 Years experience, B.Tech degree, and strong Teamwork."
106,Frontend Developer,VisionAI,2-4 Years,B.Tech,"VisionAI is hiring a Frontend Developer. Required skills: JavaScript, HTML, React, Figma, Git, TypeScript. Candidates should have 2-4 Years experience, B.Tech degree, and strong Problem Solving."
107,Frontend Developer,DataMind,5+ Years,B.Tech,"DataMind is hiring a Frontend Developer. Required skills: Git, Figma, HTML, Redux, JavaScript, CSS. Candidates should have 5+ Years experience, B.Tech degree, and strong Leadership."
108,Frontend Developer,AI Labs,3-5 Years,B.Tech,"AI Labs is hiring a Frontend Developer. Required skills: HTML, CSS, Git, JavaScript, React, Redux. Candidates should have 3-5 Years experience, B.Tech degree, and strong Problem Solving."
109,Frontend Developer,VisionAI,3-5 Years,B.Tech,"VisionAI is hiring a Frontend Developer. Required skills: React, TypeScript, Redux, Git, HTML, Figma. Candidates should have 3-5 Years experience, B.Tech degree, and strong Leadership."
110,Frontend Developer,CloudOps,2-4 Years,B.Tech,"CloudOps is hiring a Frontend Developer. Required skills: Redux, TypeScript, CSS, Figma, HTML, JavaScript. Candidates should have 2-4 Years experience, B.Tech degree, and strong Teamwork."
111,Frontend Developer,NextGen,3-5 Years,B.Tech,"NextGen is hiring a Frontend Developer. Required skills: Git, JavaScript, HTML, React, TypeScript, Redux. Candidates should have 3-5 Years experience, B.Tech degree, and strong Leadership."
112,Frontend Developer,CodeSphere,3-5 Years,B.Tech,"CodeSphere is hiring a Frontend Developer. Required skills: TypeScript, HTML, React, JavaScript, Figma, Redux. Candidates should have 3-5 Years experience, B.Tech degree, and strong Leadership."
113,Frontend Developer,PixelSoft,3-5 Years,B.Tech,"PixelSoft is hiring a Frontend Developer. Required skills: React, Redux, JavaScript, HTML, Git, Figma. Candidates should have 3-5 Years experience, B.Tech degree, and strong Problem Solving."
114,Frontend Developer,VisionAI,3-5 Years,B.Tech,"VisionAI is hiring a Frontend Developer. Required skills: Git, Redux, React, TypeScript, HTML, JavaScript. Candidates should have 3-5 Years experience, B.Tech degree, and strong Communication."
115,Frontend Developer,NextGen,0-2 Years,B.Tech,"NextGen is hiring a Frontend Developer. Required skills: JavaScript, Figma, Redux, TypeScript, Git, CSS. Candidates should have 0-2 Years experience, B.Tech degree, and strong Communication."
116,Frontend Developer,TechNova,2-4 Years,B.Tech,"TechNova is hiring a Frontend Developer. Required skills: JavaScript, HTML, Figma, TypeScript, React, Git. Candidates should have 2-4 Years experience, B.Tech degree, and strong Problem Solving."
117,Frontend Developer,Insight Ltd,3-5 Years,B.Tech,"Insight Ltd is hiring a Frontend Developer. Required skills: Redux, TypeScript, HTML, JavaScript, CSS, Git. Candidates should have 3-5 Years experience, B.Tech degree, and strong Teamwork."
118,Frontend Developer,FinTechX,1-3 Years,B.Tech,"FinTechX is hiring a Frontend Developer. Required skills: TypeScript, JavaScript, React, CSS, HTML, Figma. Candidates should have 1-3 Years experience, B.Tech degree, and strong Teamwork."
119,Frontend Developer,FinTechX,0-2 Years,B.Tech,"FinTechX is hiring a Frontend Developer. Required skills: HTML, Figma, Redux, TypeScript, Git, JavaScript. Candidates should have 0-2 Years experience, B.Tech degree, and strong Problem Solving."
120,Frontend Developer,PixelSoft,3-5 Years,B.Tech,"PixelSoft is hiring a Frontend Developer. Required skills: TypeScript, React, HTML, Figma, CSS, Redux. Candidates should have 3-5 Years experience, B.Tech degree, and strong Leadership."
121,Frontend Developer,Insight Ltd,3-5 Years,B.Tech,"Insight Ltd is hiring a Frontend Developer. Required skills: CSS, JavaScript, HTML, Redux, React, Figma. Candidates should have 3-5 Years experience, B.Tech degree, and strong Problem Solving."
122,Frontend Developer,Insight Ltd,0-2 Years,B.Tech,"Insight Ltd is hiring a Frontend Developer. Required skills: CSS, Redux, TypeScript, React, HTML, JavaScript. Candidates should have 0-2 Years experience, B.Tech degree, and strong Communication."
123,Frontend Developer,Insight Ltd,1-3 Years,B.Tech,"Insight Ltd is hiring a Frontend Developer. Required skills: Figma, Git, TypeScript, JavaScript, Redux, React. Candidates should have 1-3 Years experience, B.Tech degree, and strong Problem Solving."
124,Frontend Developer,Insight Ltd,0-2 Years,B.Tech,"Insight Ltd is hiring a Frontend Developer. Required skills: TypeScript, Redux, React, Git, Figma, JavaScript. Candidates should have 0-2 Years experience, B.Tech degree, and strong Problem Solving."
